section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
presentations,TRUE,Sagebrush under Stress: Tracing heat and drought survival with a genome to phenome approach,NSF Virtual Site Visit,,,2021,Carlos Dave C. Dumaguit,,
presentations,TRUE,Mining Gems in Literature and Genomes: a Proof of Concept in Artemisia tridentata,VIP Symposium,"Boise, ID, USA",NA,2020," Carlos Dave Contreras Dumaguit, Stephanie Joy Galla, Anthony Eli Melton, John Michael Wojahn, Peggy Martinez, Sven Cedric Buerki ",,
presentations,TRUE,Hot Takes: A Comprehensive Review of Genes That Help Plants Survive Drought,Idaho Conference of Undergraduate Research,,,2020,"Dumaguit, C.D., Shuey, A.J., Galla, S.J., Wojahn, M., Martinez, P., Rosato, J., &; Buerki, S.",,
presentations,TRUE,Irritability: An Indicator of Depression and Suicidality in College Men,American Psychological Association,"Washington, D.C., USA",,2020,"Dumaguit, C.D., Genuchi, M.",,
presentations,TRUE,"Relationships Between Aggression, Homophobia, and Masculinity in College Men and Women",Rocky Mountain Psychology Association,"Denver, CO, USA",,2019,"Dumaguit, C.D., Merino, K., Genuchi, M..",,
professions,TRUE,Starbucks Partner,"Starbucks, Ten Mile & McMillan","Meridian, ID, USA",NA,2020,"Provided customers with prompt service, quality beverages and products, and maintained a clean, comfortable environment amid varying stages of Idaho COVID guidelines.","Promoted culture, values, and mission of Starbucks. Anticipated customer and store needs by constantly evaluating environment and customer cues.",
professions,TRUE,Office Assistant,Boise State University Housing & Residence Life,"Boise, ID, USA",2019,2020,Aided residence hall front desk and resident director. Coordinated and led staff training for desk procedures. ,"Revised residence hall policies, including package procedures, mail handling, and hall standards.",Assisted residents with maintaining community policies and standards. 
professions,TRUE,Developmental Technician,Gem State Developmental Center,"Meridian, ID, USA",NA,2019,"Provided medical, academic, habilitative support assisting developmental coordinators supervised by licensed - clinical social workers for developmentally disabled adults. ",Documented medical files and planned individual developmental learning plans unique to clients. ,Led community ventures and volunteer work with clients while simultaneously instructing clients in learning independent life skills.
professions,TRUE,Resident Assistant,Boise State University Housing & Residence Life,"Boise, ID, USA",2017,2019,"Conducted conflict management, incident de-escalation, upheld community standards, and prepared objective reports. Worked in conjunction with multiple levels of Housing & Residence Life, Boise Police Department, emergency services, and other University parties. ","Provided resources and troubleshooting for residence halls as well as planned, marketed, and organized community events for Boise State campus. ",Nominated for National Residence Hall Honorary.
professions,TRUE,Music Minister,Diocese of Boise,"Boise, ID, USA",2017,2019,"Coordinated with professional music minster with song selection and execution relevant to liturgical year. Led music events, worship, religious retreats, and Sunday liturgy at several Catholic Churches in the Diocese of Boise.","Experienced with acoustic guitar, electric guitar, electric bass, upright bass, piano, percussion, and cantor/lead roles.",
awards,TRUE,Graduate Teaching Assistantship,Boise State University,,2021,Present,"Academic fee/tuition waiver, $12,000 stipend over academic year",,
awards,TRUE,FARE Fellowship Award,National Science Foundation Idaho EPSCoR Program,,,2020,Awarded an educational stipend of $366.64 to cover the 1 credit VIP class entitled Genome2Phenome,Fall Authentic Research Experience intern position,
awards,TRUE,SARE Award,National Science Foundation Idaho EPSCoR Program,,,2020,$3000 stipend,Summer term research internship position,
awards,TRUE,Presidential Scholarship,Boise State University,,2016,2018,"$10,000 scholarship spread over four semesters ($2500 per semester)",,
